k,silhouette,inertia,min_cluster_size,min_cluster_share,eligible
2,0.4919471023596982,182.45694237294242,62,0.4025974025974026,True
3,0.4244098754937115,115.78216649976274,34,0.22077922077922077,True
4,0.3488236800553252,93.93413521305179,25,0.16233766233766234,True
5,0.36870173919272997,79.5374691115424,3,0.01948051948051948,False
6,0.3264253981120159,68.72423377209385,3,0.01948051948051948,False
7,0.30635356676037356,59.550494962988395,3,0.01948051948051948,False
8,0.32283014954686734,51.72433381073397,3,0.01948051948051948,False
9,0.3182271661019469,47.00880766246732,3,0.01948051948051948,False
10,0.3029930025310626,42.706710326947,3,0.01948051948051948,False
