year,region,n_countries,share_has_dii,mean_dii,median_dii
2015,East Asia & Pacific,37,0.8108108108108109,45.07453070990381,39.89202494759763
2015,Europe & Central Asia,56,0.9464285714285714,68.39239313348325,71.22696123393551
2015,Latin America & Caribbean ,42,0.8809523809523809,51.15221917216205,50.48520893527397
2015,"Middle East, North Africa, Afghanistan & Pakistan",23,0.9130434782608695,44.196152277159634,41.67683459491475
2015,North America,3,1.0,73.21562414439423,75.84855000785413
2015,South Asia,6,1.0,30.163079229434473,26.993574234076455
2015,Sub-Saharan Africa ,48,0.9583333333333334,16.03444600545604,12.40292459143626
2016,East Asia & Pacific,37,0.7567567567567568,49.87750564721273,46.73662428281393
2016,Europe & Central Asia,56,0.9464285714285714,72.09065803974282,74.89734760897284
2016,Latin America & Caribbean ,42,0.8809523809523809,53.55705156251692,52.97457285088555
2016,"Middle East, North Africa, Afghanistan & Pakistan",23,0.9130434782608695,46.331955359382725,44.24932125494565
2016,North America,3,1.0,80.53580208550174,79.61998368945055
2016,South Asia,6,1.0,35.04774923301757,30.492965803769682
2016,Sub-Saharan Africa ,48,0.9583333333333334,18.200286196824596,13.07025290349348
2017,East Asia & Pacific,37,0.7567567567567568,51.05027005882788,49.87683292934302
2017,Europe & Central Asia,57,0.9298245614035088,75.00406843532981,78.12138024155855
2017,Latin America & Caribbean ,42,0.8809523809523809,56.949629514150224,56.888024559323206
2017,"Middle East, North Africa, Afghanistan & Pakistan",23,0.9565217391304348,49.099207599883975,47.8333408822484
2017,North America,3,1.0,82.26998972898564,81.72190257065004
2017,South Asia,6,1.0,37.7261360860881,35.785593122384725
2017,Sub-Saharan Africa ,48,0.9375,20.309557660607286,14.97374111958385
2018,East Asia & Pacific,37,0.6216216216216216,57.6402846323665,59.07496064740893
2018,Europe & Central Asia,57,0.8596491228070176,76.99085096376993,79.38131238988356
2018,Latin America & Caribbean ,42,0.7142857142857143,56.191671996157,54.009770537628185
2018,"Middle East, North Africa, Afghanistan & Pakistan",23,0.9130434782608695,50.92689324379865,49.70467952684948
2018,North America,3,0.6666666666666666,83.31104150350279,83.31104150350279
2018,South Asia,6,1.0,43.18759372243401,41.50085895634177
2018,Sub-Saharan Africa ,48,0.7916666666666666,24.92054912453861,21.802963753317897
2019,East Asia & Pacific,37,0.7297297297297297,55.537668154619894,55.36405908032154
2019,Europe & Central Asia,56,0.9107142857142857,77.80936322052023,80.32887314951506
2019,Latin America & Caribbean ,41,0.8292682926829268,56.96081550474163,56.65476410999091
2019,"Middle East, North Africa, Afghanistan & Pakistan",23,0.9130434782608695,52.34648963795301,53.60769547669923
2019,North America,3,0.6666666666666666,84.74145371370932,84.74145371370932
2019,South Asia,6,1.0,41.96463388931715,41.864773104188245
2019,Sub-Saharan Africa ,48,0.9375,24.145504194750487,20.292497952317294
2020,East Asia & Pacific,37,0.7027027027027027,58.882749908609455,59.11795506650959
2020,Europe & Central Asia,56,0.9285714285714286,78.02441202589124,80.26417042575332
2020,Latin America & Caribbean ,42,0.7619047619047619,60.561209520492476,57.687059153930136
2020,"Middle East, North Africa, Afghanistan & Pakistan",23,0.9565217391304348,53.5370008082335,56.603099818515226
2020,North America,3,0.6666666666666666,85.09267613402835,85.09267613402835
2020,South Asia,6,1.0,43.73636180420524,43.42726105938246
2020,Sub-Saharan Africa ,48,0.9166666666666666,26.700440017576955,24.131778051540465
2021,East Asia & Pacific,37,0.7297297297297297,59.650942758056104,57.64955580106912
2021,Europe & Central Asia,56,0.9285714285714286,80.28262749929648,82.02444729689003
2021,Latin America & Caribbean ,42,0.7857142857142857,62.6342949760015,60.25671093846215
2021,"Middle East, North Africa, Afghanistan & Pakistan",23,0.9130434782608695,57.703122195650785,60.00445138306664
2021,North America,3,0.6666666666666666,86.35485980338684,86.35485980338684
2021,South Asia,6,1.0,47.61016232879748,45.36710342915047
2021,Sub-Saharan Africa ,48,0.875,29.610442720104825,27.044445289272026
2022,East Asia & Pacific,37,0.7567567567567568,60.7724620753342,57.602804330130965
2022,Europe & Central Asia,57,0.9122807017543859,82.07230469068591,83.18173001604401
2022,Latin America & Caribbean ,42,0.7857142857142857,64.01672840055073,62.62465727217985
2022,"Middle East, North Africa, Afghanistan & Pakistan",23,0.9130434782608695,60.22324478127904,63.42544485560504
2022,North America,3,0.6666666666666666,86.1155516760438,86.1155516760438
2022,South Asia,6,1.0,47.60639928656641,46.44406510701418
2022,Sub-Saharan Africa ,48,0.8541666666666666,31.267406568704644,28.372127049864325
